"key","parent","text"
1,,"Entertainment"
2,1,"Celebrity"
3,1,"Gossip"
4,1,"Gaming"
5,1,"Movies"
6,1,"Music"
7,1,"Television"
8,,"Business"
9,8,"Business Finance"
10,8,"Economy"
11,8,"Entrepreneurs"
12,8,"Investing"
13,8,"Real Estate"
14,8,"Stocks and Bonds"
15,,"Lifestyle"
16,15,"Architecture"
17,15,"Art"
18,15,"Autos"
19,15,"Fashion"
20,15,"Food and Wine"
21,15,"Health and Fitness"
22,15,"Literature"
23,15,"Travel"
24,,"Sports"
25,24,"Baseball"
26,24,"Basketball"
27,24,"Cycling"
28,24,"Football"
29,24,"Golf"
30,24,"Hockey"
31,24,"Soccer"
32,24,"Tennis"
33,,"Technology"
34,33,"Computers"
35,33,"Consumer Electronics"
36,33,"Gadgets"
37,33,"Internet"
38,33,"Science"
39,2,"Actors"
40,2,"pictures"
41,3,"hairstyles"
42,4,"3d games"
43,4,"action games"
44,4,"adventure games"
45,4,"arcade games"
46,4,"armor games"
47,4,"baseball games"
48,4,"basketball games"
49,4,"bike games"
50,4,"board games"
51,4,"car games"
52,4,"card games"
53,4,"computer games"
54,4,"cooking games"
55,4,"download games"
56,4,"educational games"
57,4,"football games"
58,4,"free games"
59,4,"online games"
60,4,"game downloads"
61,4,"game reviews"
62,4,"game sites"
63,5,"best movies"
64,5,"buy movies"
65,5,"celebrity movie"
66,5,"celebrity movie archive"
67,5,"classic movies"
68,5,"Disney movies"
69,5,"download movies"
70,5,"DVD movies"
71,5,"film"
72,5,"film festival"
73,5,"free movies"
74,5,"free movies"
75,5,"free videos"
76,5,"funny videos"
77,5,"great clips"
78,5,"home movies"
79,5,"horror movies"
80,5,"hot movies"
81,5,"movie archive"
82,5,"movie clips"
83,5,"movie downloads"
84,5,"online movies"
85,5,"watch movies online"
86,5,"youtube videos"
87,6,"buy music"
88,6,"classical music"
89,6,"club music"
90,6,"country music"
91,6,"dance music"
92,6,"download music"
93,6,"free music"
94,6,"jazz music"
95,6,"Latin music"
96,6,"listen to free music"
97,6,"listen to music"
98,6,"live music"
99,6,"mp3 music"
100,7,"cable TV"
101,7,"digital TV"
102,7,"flat panel TV"
103,7,"flat screen TV"
104,7,"food network"
105,7,"HD TV"
106,7,"LCD TV"
107,7,"plasma TV"
108,7,"satellite TV"
109,9,"auto finance"
110,9,"business bookkeeping"
111,9,"business consulting"
112,9,"business finance"
113,9,"business for sale"
114,9,"business plan"
115,9,"business planning"
116,9,"business start up"
117,9,"business strategy"
118,9,"buying a business"
119,9,"car finance"
120,9,"car financing"
121,9,"home based business"
122,9,"home mortgage"
123,9,"mortgage"
